รหัสจังหวัด,province_clean,เขต,หมายเลข_clean,party_name_clean,คะแนน,First_digit
10,กรุงเทพมหานคร,3,12,เสรีรวมไทย,424,4
10,กรุงเทพมหานคร,3,13,รวมพลังประชาชน,200,2
10,กรุงเทพมหานคร,3,14,ท้องที่ไทย,10,1
10,กรุงเทพมหานคร,3,15,อนาคตไทย,34,3
10,กรุงเทพมหานคร,3,16,พลังเพื่อไทย,38,3
10,กรุงเทพมหานคร,3,17,ไทยชนะ,33,3
10,กรุงเทพมหานคร,3,18,พลังสังคมใหม่,6,6
10,กรุงเทพมหานคร,3,19,สังคมประชาธิปไตยไทย,19,1
10,กรุงเทพมหานคร,3,20,ฟิวชัน,15,1
10,กรุงเทพมหานคร,3,21,ไทยรวมพลัง,23,2
10,กรุงเทพมหานคร,3,22,ก้าวอิสระ,31,3
10,กรุงเทพมหานคร,3,24,วินัยไทย,16,1
10,กรุงเทพมหานคร,3,23,ปวงชนไทย,39,3
10,กรุงเทพมหานคร,3,25,เพื่อชีวิตใหม่,10,1
10,กรุงเทพมหานคร,3,26,คลองไทย,33,3
10,กรุงเทพมหานคร,3,27,ประชาธิปัตย์,12667,1
10,กรุงเทพมหานคร,3,28,ไทยก้าวหน้า,60,6
10,กรุงเทพมหานคร,3,29,ไทยภักดี,1669,1
10,กรุงเทพมหานคร,3,30,แรงงานสร้างชาติ,13,1
10,กรุงเทพมหานคร,3,31,ประชากรไทย,35,3
10,กรุงเทพมหานคร,3,32,ครูไทยเพื่อประชาชน,21,2
10,กรุงเทพมหานคร,3,33,ประชาชาติ,68,6
10,กรุงเทพมหานคร,3,34,สร้างอนาคตไทย,20,2
10,กรุงเทพมหานคร,3,35,รักชาติ,118,1
10,กรุงเทพมหานคร,3,36,ไทยพร้อม,42,4
10,กรุงเทพมหานคร,3,37,ภูมิใจไทย,15604,1
10,กรุงเทพมหานคร,3,38,พลังธรรมใหม่,39,3
10,กรุงเทพมหานคร,3,39,กรีน,64,6
10,กรุงเทพมหานคร,3,40,ไทยธรรม,7,7
10,กรุงเทพมหานคร,3,41,แผ่นดินธรรม,10,1
10,กรุงเทพมหานคร,3,42,กล้าธรรม,153,1
10,กรุงเทพมหานคร,3,43,พลังประชารัฐ,83,8
10,กรุงเทพมหานคร,3,44,โอกาสใหม่,44,4
10,กรุงเทพมหานคร,3,45,เป็นธรรม,44,4
10,กรุงเทพมหานคร,3,46,ประชาชน,35819,3
10,กรุงเทพมหานคร,3,47,ประชาไทย,89,8
10,กรุงเทพมหานคร,3,48,ไทยสร้างไทย,583,5
10,กรุงเทพมหานคร,3,49,ไทยก้าวใหม่,618,6
10,กรุงเทพมหานคร,3,50,ประชาอาสาชาติ,1,1
10,กรุงเทพมหานคร,3,51,พร้อม,24,2
10,กรุงเทพมหานคร,3,52,เครือข่ายชาวนาแห่งประเทศไทย,7,7
10,กรุงเทพมหานคร,3,53,ไทยภักดีธรรม,10,1
10,กรุงเทพมหานคร,3,54,ความหวังใหม่,6,6
10,กรุงเทพมหานคร,3,55,ไทยรวมไทย,8,8
10,กรุงเทพมหานคร,3,58,รักษ์ธรรม,N/A,
10,กรุงเทพมหานคร,3,59,รวมพลัง,N/A,
10,กรุงเทพมหานคร,3,60,สัมมาธิปไตย,N/A,
10,กรุงเทพมหานคร,3,57,พลังไทยรักชาติ,N/A,
10,กรุงเทพมหานคร,3,56,เพื่อบ้านเมือง,N/A,
10,กรุงเทพมหานคร,4,1,ไทยทรัพย์ทวี,353,3
10,กรุงเทพมหานคร,4,2,เพื่อชาติไทย,306,3
10,กรุงเทพมหานคร,4,3,ใหม่,54,5
10,กรุงเทพมหานคร,4,4,มิติใหม่,88,8
10,กรุงเทพมหานคร,4,5,รวมใจไทย,101,1
10,กรุงเทพมหานคร,4,6,รวมไทยสร้างชาติ,1674,1
10,กรุงเทพมหานคร,4,7,พลวัต,74,7
10,กรุงเทพมหานคร,4,8,ประชาธิปไตยใหม่,268,2
10,กรุงเทพมหานคร,4,9,เพื่อไทย,5499,5
10,กรุงเทพมหานคร,4,10,ทางเลือกใหม่,298,2
10,กรุงเทพมหานคร,4,11,เศรษฐกิจ,1399,1
10,กรุงเทพมหานคร,4,12,เสรีรวมไทย,365,3
10,กรุงเทพมหานคร,4,13,รวมพลังประชาชน,186,1
10,กรุงเทพมหานคร,4,14,ท้องที่ไทย,12,1
10,กรุงเทพมหานคร,4,15,อนาคตไทย,48,4
10,กรุงเทพมหานคร,4,16,พลังเพื่อไทย,44,4
10,กรุงเทพมหานคร,4,17,ไทยชนะ,39,3
10,กรุงเทพมหานคร,4,18,พลังสังคมใหม่,4,4
10,กรุงเทพมหานคร,4,19,สังคมประชาธิปไตยไทย,12,1
10,กรุงเทพมหานคร,4,20,ฟิวชัน,13,1
10,กรุงเทพมหานคร,4,21,ไทยรวมพลัง,35,3
10,กรุงเทพมหานคร,4,22,ก้าวอิสระ,6,6
10,กรุงเทพมหานคร,4,23,ปวงชนไทย,50,5
10,กรุงเทพมหานคร,4,24,วินัยไทย,42,4
10,กรุงเทพมหานคร,4,25,เพื่อชีวิตใหม่,12,1
10,กรุงเทพมหานคร,4,26,คลองไทย,40,4
10,กรุงเทพมหานคร,4,27,ประชาธิปัตย์,11540,1
10,กรุงเทพมหานคร,4,28,ไทยก้าวหน้า,53,5
10,กรุงเทพมหานคร,4,29,ไทยภักดี,1480,1
10,กรุงเทพมหานคร,4,30,แรงงานสร้างชาติ,27,2
10,กรุงเทพมหานคร,4,31,ประชากรไทย,39,3
10,กรุงเทพมหานคร,4,32,ครูไทยเพื่อประชาชน,16,1
10,กรุงเทพมหานคร,4,33,ประชาชาติ,72,7
10,กรุงเทพมหานคร,4,34,สร้างอนาคตไทย,20,2
10,กรุงเทพมหานคร,4,35,รักชาติ,107,1
10,กรุงเทพมหานคร,4,36,ไทยพร้อม,43,4
10,กรุงเทพมหานคร,4,37,ภูมิใจไทย,16202,1
10,กรุงเทพมหานคร,4,38,พลังธรรมใหม่,46,4
10,กรุงเทพมหานคร,4,39,กรีน,67,6
10,กรุงเทพมหานคร,4,40,ไทยธรรม,4,4
10,กรุงเทพมหานคร,4,41,แผ่นดินธรรม,9,9
10,กรุงเทพมหานคร,4,42,กล้าธรรม,861,8
10,กรุงเทพมหานคร,4,43,พลังประชารัฐ,93,9
10,กรุงเทพมหานคร,4,44,โอกาสใหม่,47,4
10,กรุงเทพมหานคร,4,45,เป็นธรรม,40,4
10,กรุงเทพมหานคร,4,46,ประชาชน,36150,3
10,กรุงเทพมหานคร,4,47,ประชาไทย,72,7
10,กรุงเทพมหานคร,4,48,ไทยสร้างไทย,655,6
10,กรุงเทพมหานคร,4,49,ไทยก้าวใหม่,565,5
10,กรุงเทพมหานคร,4,50,ประชาอาสาชาติ,4,4
10,กรุงเทพมหานคร,4,51,พร้อม,21,2
10,กรุงเทพมหานคร,4,52,เครือข่ายชาวนาแห่งประเทศไทย,4,4
10,กรุงเทพมหานคร,4,53,ไทยภักดีธรรม,3,3
10,กรุงเทพมหานคร,4,54,ความหวังใหม่,12,1
10,กรุงเทพมหานคร,4,55,ไทยรวมไทย,7,7
10,กรุงเทพมหานคร,4,56,เพื่อบ้านเมือง,8,8
10,กรุงเทพมหานคร,4,57,พลังไทยรักชาติ,13,1
10,กรุงเทพมหานคร,4,58,รักษ์ธรรม,N/A,
10,กรุงเทพมหานคร,4,59,รวมพลัง,N/A,
10,กรุงเทพมหานคร,4,60,สัมมาธิปไตย,N/A,
10,กรุงเทพมหานคร,5,1,ไทยทรัพย์ทวี,19,1
10,กรุงเทพมหานคร,5,2,เพื่อชาติไทย,145,1
10,กรุงเทพมหานคร,5,3,ใหม่,56,5
10,กรุงเทพมหานคร,5,4,มิติใหม่,210,2
10,กรุงเทพมหานคร,5,5,รวมใจไทย,102,1
10,กรุงเทพมหานคร,5,6,รวมไทยสร้างชาติ,2239,2
10,กรุงเทพมหานคร,5,7,พลวัต,108,1
10,กรุงเทพมหานคร,5,8,ประชาธิปไตยใหม่,192,1
10,กรุงเทพมหานคร,5,9,เพื่อไทย,7684,7
10,กรุงเทพมหานคร,5,10,ทางเลือกใหม่,310,3
10,กรุงเทพมหานคร,5,11,เศรษฐกิจ,1307,1
10,กรุงเทพมหานคร,5,12,เสรีรวมไทย,334,3
10,กรุงเทพมหานคร,5,13,รวมพลังประชาชน,376,3
10,กรุงเทพมหานคร,5,14,ท้องที่ไทย,14,1
10,กรุงเทพมหานคร,5,15,อนาคตไทย,28,2
10,กรุงเทพมหานคร,5,16,พลังเพื่อไทย,80,8
10,กรุงเทพมหานคร,5,17,ไทยชนะ,33,3
10,กรุงเทพมหานคร,5,18,พลังสังคมใหม่,2,2
10,กรุงเทพมหานคร,5,19,สังคมประชาธิปไตยไทย,19,1
10,กรุงเทพมหานคร,5,20,ฟิวชัน,15,1
10,กรุงเทพมหานคร,5,21,ไทยรวมพลัง,32,3
10,กรุงเทพมหานคร,5,22,ก้าวอิสระ,10,1
10,กรุงเทพมหานคร,5,23,ปวงชนไทย,54,5
10,กรุงเทพมหานคร,5,24,วินัยไทย,15,1
10,กรุงเทพมหานคร,5,25,เพื่อชีวิตใหม่,29,2
10,กรุงเทพมหานคร,5,26,คลองไทย,76,7
10,กรุงเทพมหานคร,5,27,ประชาธิปัตย์,9790,9
10,กรุงเทพมหานคร,5,28,ไทยก้าวหน้า,70,7
10,กรุงเทพมหานคร,5,29,ไทยภักดี,1554,1
10,กรุงเทพมหานคร,5,30,แรงงานสร้างชาติ,13,1
10,กรุงเทพมหานคร,5,31,ประชากรไทย,39,3
10,กรุงเทพมหานคร,5,32,ครูไทยเพื่อประชาชน,14,1
10,กรุงเทพมหานคร,5,33,ประชาชาติ,125,1
10,กรุงเทพมหานคร,5,34,สร้างอนาคตไทย,35,3
10,กรุงเทพมหานคร,5,35,รักชาติ,155,1
10,กรุงเทพมหานคร,5,36,ไทยพร้อม,53,5
10,กรุงเทพมหานคร,5,37,ภูมิใจไทย,19329,1
10,กรุงเทพมหานคร,5,38,พลังธรรมใหม่,36,3
10,กรุงเทพมหานคร,5,39,กรีน,64,6
10,กรุงเทพมหานคร,5,40,ไทยธรรม,10,1
10,กรุงเทพมหานคร,5,41,แผ่นดินธรรม,6,6
10,กรุงเทพมหานคร,5,42,กล้าธรรม,161,1
10,กรุงเทพมหานคร,5,43,พลังประชารัฐ,97,9
10,กรุงเทพมหานคร,5,44,โอกาสใหม่,91,9
10,กรุงเทพมหานคร,5,45,เป็นธรรม,43,4
10,กรุงเทพมหานคร,5,46,ประชาชน,46080,4
10,กรุงเทพมหานคร,5,47,ประชาไทย,83,8
10,กรุงเทพมหานคร,5,48,ไทยสร้างไทย,795,7
10,กรุงเทพมหานคร,5,49,ไทยก้าวใหม่,682,6
10,กรุงเทพมหานคร,5,50,ประชาอาสาชาติ,5,5
10,กรุงเทพมหานคร,5,51,พร้อม,16,1
10,กรุงเทพมหานคร,5,52,เครือข่ายชาวนาแห่งประเทศไทย,7,7
10,กรุงเทพมหานคร,5,53,ไทยภักดีธรรม,5,5
10,กรุงเทพมหานคร,5,54,ความหวังใหม่,9,9
10,กรุงเทพมหานคร,5,55,ไทยรวมไทย,5,5
