province_name,constituency,vote_track,voters_came,good_votes,invalid_votes,no_votes
มุกดาหาร,2,party_list,100884,93394,5240,2250
เชียงใหม่,1,party_list,103011,96338,2642,4031
เชียงใหม่,2,party_list,113527,104169,3895,5463
เชียงใหม่,3,party_list,111505,102183,4359,4963
เชียงใหม่,4,party_list,115491,107169,3710,4612
เชียงใหม่,5,party_list,102642,93381,4942,4319
เชียงใหม่,6,party_list,91405,82957,5670,2778
เชียงใหม่,7,party_list,98463,89283,6216,2964
เชียงใหม่,8,party_list,116389,106796,4877,4716
เชียงใหม่,9,party_list,105624,96856,5659,3109
เชียงใหม่,10,party_list,91752,83963,6489,1300
ลำพูน,1,party_list,140618,127949,5987,6682
ลำพูน,2,party_list,131679,118060,8173,5446
ลำปาง,1,party_list,112099,102321,4276,5502
ลำปาง,2,party_list,111667,100997,6936,3734
ลำปาง,3,party_list,112970,101555,5993,5422
ลำปาง,4,party_list,115740,105524,6688,3528
อุตรดิตถ์,1,party_list,87587,80582,4107,2897
อุตรดิตถ์,2,party_list,83114,74563,5243,3308
อุตรดิตถ์,3,party_list,84565,76848,4226,3491
แพร่,1,party_list,98225,92182,3505,2538
แพร่,2,party_list,88953,83006,4148,1799
แพร่,3,party_list,84245,76597,4582,3066
น่าน,1,party_list,107201,97503,4676,5022
น่าน,2,party_list,98560,90844,4105,3611
น่าน,3,party_list,89545,81284,4915,3346
พะเยา,1,party_list,94639,92867,3581,2105
พะเยา,2,party_list,96038,89511,4411,2116
พะเยา,3,party_list,97854,90428,5204,2222
เชียงราย,1,party_list,109303,100279,4331,4693
เชียงราย,2,party_list,100737,91960,5143,3634
เชียงราย,3,party_list,104927,95336,6268,3323
เชียงราย,4,party_list,107048,98804,4875,3369
เชียงราย,5,party_list,99605,92525,4312,2768
เชียงราย,6,party_list,85894,78227,4825,2842
เชียงราย,7,party_list,97666,88463,5624,3579
แม่ฮ่องสอน,1,party_list,68159,62848,3036,2275
แม่ฮ่องสอน,2,party_list,74409,68280,4732,1397
นครสวรรค์,1,party_list,99113,91547,3840,3726
นครสวรรค์,2,party_list,104185,94978,6300,2907
นครสวรรค์,3,party_list,100028,90037,6512,3479
นครสวรรค์,4,party_list,92412,83094,6953,2365
นครสวรรค์,5,party_list,94811,85271,6456,3084
นครสวรรค์,6,party_list,90286,81637,6832,1817
อุทัยธานี,1,party_list,84560,77569,4102,2889
อุทัยธานี,2,party_list,83898,77279,4250,2369
