province_name,constituency,vote_track,voters_came,eligible_voters,turnout_pct
นครปฐม,4,party_list,105127,128771,81.63872300440318
นครปฐม,5,party_list,107208,131064,81.79820545687603
นครปฐม,6,party_list,97368,126887,76.73599344298471
สมุทรสาคร,1,party_list,88046,119400,73.74036850921273
สมุทรสาคร,2,party_list,85606,119053,71.9057898582984
สมุทรสาคร,3,party_list,81871,111970,73.1186925069215
สมุทรสาคร,4,party_list,84850,112307,75.55183559350709
สมุทรสงคราม,1,party_list,113409,156144,72.63103289271442
เพชรบุรี,1,party_list,99383,125465,79.21173235563703
เพชรบุรี,2,party_list,105819,139314,75.95719023213748
เพชรบุรี,3,party_list,103294,131561,78.5141493299686
ประจวบคีรีขันธ์,1,party_list,118298,152841,77.39938890742667
ประจวบคีรีขันธ์,2,party_list,103564,146320,70.77911427009295
ประจวบคีรีขันธ์,3,party_list,103420,138338,74.75892379534184
นครศรีธรรมราช,1,party_list,99799,132977,75.04982064567557
นครศรีธรรมราช,2,party_list,100576,141832,70.91206497828416
นครศรีธรรมราช,3,party_list,98207,133600,73.50823353293413
นครศรีธรรมราช,4,party_list,103161,135858,75.93295941350527
นครศรีธรรมราช,5,party_list,106726,140274,76.08394998360352
นครศรีธรรมราช,6,party_list,105027,134535,78.06667409967667
นครศรีธรรมราช,7,party_list,99078,136273,72.70552493890939
นครศรีธรรมราช,8,party_list,99928,136225,73.3551110295467
นครศรีธรรมราช,9,party_list,102098,139759,73.05289820333574
กระบี่,1,party_list,97430,128645,75.73555132340938
กระบี่,2,party_list,86116,117641,73.20236992205098
กระบี่,3,party_list,94677,124286,76.1767214328243
พังงา,1,party_list,74405,100343,74.15066322513778
พังงา,2,party_list,83092,110773,75.01105865147645
ภูเก็ต,1,party_list,72891,103958,70.11581600261644
ภูเก็ต,2,party_list,71865,107981,66.55337513081005
ภูเก็ต,3,party_list,82182,117627,69.86661225738987
สุราษฎร์ธานี,1,party_list,83141,117091,71.00545729389962
สุราษฎร์ธานี,2,party_list,86508,118867,72.77713747297399
สุราษฎร์ธานี,3,party_list,94208,120055,78.47070092874098
สุราษฎร์ธานี,4,party_list,98789,123380,80.06889285135355
สุราษฎร์ธานี,5,party_list,93876,121937,76.98729671879741
สุราษฎร์ธานี,6,party_list,102222,125056,81.74098004094165
สุราษฎร์ธานี,7,party_list,96637,120275,80.34670546663895
ระนอง,1,party_list,96299,143308,67.1972255561448
ชุมพร,1,party_list,104169,137061,76.00192614967058
ชุมพร,2,party_list,107786,136820,78.77941821371145
ชุมพร,3,party_list,101286,135755,74.6094066516887
สงขลา,1,party_list,97310,128135,75.94334100753112
สงขลา,2,party_list,82761,108624,76.1903446752099
สงขลา,3,party_list,105979,133682,79.2769407998085
สงขลา,4,party_list,101440,126618,80.11499154938477
สงขลา,5,party_list,104525,129703,80.58795864397894
สงขลา,6,party_list,93834,155747,60.24770942618477
สงขลา,7,party_list,98801,126580,78.05419497550956
สงขลา,8,party_list,99959,120456,82.98382811981139
สงขลา,9,party_list,110450,135934,81.25266673532744
สตูล,1,party_list,88455,116489,75.9342083801904
สตูล,2,party_list,99320,129527,76.67899356890841
ตรัง,1,party_list,99277,124216,79.92287628002835
ตรัง,2,party_list,101194,131993,76.66618684324169
ตรัง,3,party_list,95235,125344,75.97890605054889
ตรัง,4,party_list,99517,128358,77.53081225946183
พัทลุง,1,party_list,113467,134471,84.6777372072789
พัทลุง,2,party_list,122373,144343,84.7793103926065
พัทลุง,3,party_list,116554,143511,81.2160740291685
ปัตตานี,1,party_list,74216,95574,77.65291815765794
ปัตตานี,2,party_list,81515,110666,73.65857625648347
ปัตตานี,3,party_list,70192,99188,70.76662499495907
ปัตตานี,4,party_list,83824,110256,76.02670149470325
ปัตตานี,5,party_list,78514,109944,71.4127192025031
ยะลา,1,party_list,98981,130009,76.1339599566184
ยะลา,2,party_list,96577,134281,71.92156745928314
ยะลา,3,party_list,95519,131474,72.65238754430534
นราธิวาส,1,party_list,99498,129176,77.02514398959559
นราธิวาส,2,party_list,77970,113207,68.8738328901923
นราธิวาส,3,party_list,82911,112278,73.84438625554426
นราธิวาส,4,party_list,86855,116934,74.2769425487882
นราธิวาส,5,party_list,93603,125332,74.6840391919063
กรุงเทพมหานคร,1,constituency,82421,130445,63.1844838820959
กรุงเทพมหานคร,2,constituency,90181,136434,66.09862644208921
กรุงเทพมหานคร,3,constituency,82361,122576,67.19178305704216
กรุงเทพมหานคร,4,constituency,82948,129503,64.05102584496112
กรุงเทพมหานคร,5,constituency,96561,133983,72.06959091825082
กรุงเทพมหานคร,6,constituency,100871,143091,70.49430082954204
กรุงเทพมหานคร,7,constituency,92497,142711,64.81420493164507
กรุงเทพมหานคร,8,constituency,104633,144013,72.65524640136654
กรุงเทพมหานคร,9,constituency,102720,144197,71.2358786937315
กรุงเทพมหานคร,10,constituency,99657,137980,72.22568488186694
กรุงเทพมหานคร,11,constituency,100367,137319,73.09039535679695
กรุงเทพมหานคร,12,constituency,111029,143108,77.58406238644939
กรุงเทพมหานคร,13,constituency,97065,131666,73.72062643355156
กรุงเทพมหานคร,14,constituency,99223,140238,70.75329083415338
