รหัสจังหวัด,จังหวัด,เขต,party_listผู้มีสิทธิ์,party_listมาใช้สิทธิ์,party_listคะแนนดี,party_listคะแนนเสีย,party_listไม่โหวต,party_listballots_received,party_listballots_used,แบ่งเขต_ผู้ชนะ,แบ่งเขต_พรรค,consti_eligible_voters,consti_voters_came,consti_ballots_received,consti_ballots_used,consti_good_votes,consti_invalid_votes,consti_no_votes,2diff_came,2pct_diff/ผู้มีสิทเขต,3party_list_pct_มาใช้สิท,3แบ่งเขต_pct_มาใช้สิท,5partylist_บัตรผี,5consti_บัตรผี
20,ชลบุรี,6,138584,96545,90677,3018,2850,141533,96545,นางนฤมาศ เปี่ยมบัณฑิต,ประชาชน,138584,96545,141533,96545,89423,2214,4908,0,0,69.41622678,69.66532933,0,0
20,ชลบุรี,7,127875,88766,83989,2295,2482,130698,88766,นายสหัสวัต คุมคง,ประชาชน,127875,88767,130689,88767,82754,2097,3916,1,0.000782014,67.14344706,69.4170088,0,0
20,ชลบุรี,8,140456,94307,88210,3271,2826,138800,94307,นายเชาวลิตร แสงอุทัย,ภูมิใจไทย,140456,94308,138800,94308,86994,3052,4262,1,0.000711967,56.35534194,67.14415902,0,0
20,ชลบุรี,9,122755,69179,65089,2010,2080,123710,69179,นายยอดชาย พึ่งพร,ประชาชน,122755,69180,123711,69180,62409,3133,3638,1,0.000814631,66.14649067,56.35615657,0,0
20,ชลบุรี,10,134698,89098,82021,2723,4354,135872,89098,นายธนาธาร ประมูลพงษ์,ประชาชน,134698,89099,135872,89099,82457,1990,4652,1,0.000742402,75.08911704,66.14723307,0,0
21,ระยอง,1,121750,91421,86337,2322,2762,124138,91421,นางสาวกมนทรรศน์ กิตติสุนทรสกุล,ประชาชน,121750,91421,124138,91421,85091,2387,3943,0,0,66.64466352,75.08911704,0,0
21,ระยอง,2,116650,77741,72857,2183,2701,118162,77741,นายกฤช ศิลปชัย,ประชาชน,116650,77741,118162,77741,68551,3662,5528,0,0,68.60140704,66.64466352,0,0
21,ระยอง,3,124375,85323,77652,3657,4014,126079,85323,นายพศิน ปิตุเตชะ,ประชาธิปัตย์,124375,85323,126079,85323,76463,3562,5298,0,0,73.1583744,68.60140704,0,0
21,ระยอง,4,129478,94724,88462,3406,2856,130998,94724,นายฉัตรชัย ปิตุเตชะ,ภูมิใจไทย,129478,94724,139098,94724,87526,3425,3773,0,0,69.11061032,73.1583744,0,0
21,ระยอง,5,129572,89548,83541,3110,2897,130843,89548,นายวัชรพงษ์ ศิริรักษ์,ประชาชน,129572,89547,130843,89547,81289,3458,4800,1,0.000771772,74.66494636,69.10983855,0,0
22,จันทบุรี,1,148036,110531,100429,4473,5629,152747,110531,พลตำรวจโท สุรพล วิรัตน์โยสินทร์,ภูมิใจไทย,148036,110531,152547,110531,100866,3234,6431,0,0,72.20814588,74.66494636,0,0
22,จันทบุรี,2,142477,102880,91950,5530,5400,146504,102880,นายคัมภีร์ ชื่นบาน,ภูมิใจไทย,142477,102880,146504,102880,91807,5014,6059,0,0,70.98050515,72.20814588,0,0
22,จันทบุรี,3,142294,101001,90597,5733,4671,140360,101001,นายชรัตน์ เนรัญชร,ภูมิใจไทย,142294,101001,140360,101001,91176,4249,5576,0,0,70.76452703,70.98050515,0,0
23,ตราด,1,176946,125215,114946,6120,4149,179613,125215,นายพิชานนท์ อิงประสาร,ภูมิใจไทย,176946,125215,179613,125215,115576,4562,5077,0,0,75.00613597,70.76452703,0,0
24,ฉะเชิงเทรา,1,146676,110016,100617,4049,5350,149580,110016,นางฐิติมา ฉายแสง,เพื่อไทย,146676,110016,149580,110016,96004,4999,9013,0,0,82.17589062,75.00613597,0,0
24,ฉะเชิงเทรา,2,144226,118519,107806,6636,4075,148260,118518,นายอรรถกร ศิริลัทธยากร,กล้าธรรม,142226,118518,148260,118518,109828,4435,4255,1,0.000693356,71.68802687,83.33075528,2,0
24,ฉะเชิงเทรา,3,145910,104600,94168,6896,3536,155660,104600,นายชัยวัฒน์ เป้าเปี่ยมทรัพย์,กล้าธรรม,145910,104600,155660,104600,93753,5457,5390,0,0,79.11070569,71.68802687,0,0
24,ฉะเชิงเทรา,4,154572,122283,111464,6509,4310,156600,122283,จ่าเอก ยศสิงห์ เหลี่ยมเลิศ,กล้าธรรม,154572,122283,156600,122282,112107,4490,5685,0,0,73.29066271,79.11070569,0,1
25,ปราจีนบุรี,1,129363,94811,84899,4566,5346,132748,94811,นายอำนาจ วิลาวัลย์,ภูมิใจไทย,129363,94811,132748,94811,82923,3687,8201,0,0,76.33336389,73.29066271,0,0
25,ปราจีนบุรี,2,141803,108243,99428,5175,3640,,,นายชยุต ภุมมะกาญจนะ,ภูมิใจไทย,141803,108244,,,100450,3515,4279,1,0.000705204,71.08587963,76.3340691,0,0
25,ปราจีนบุรี,3,132022,93849,84893,5140,3816,136596,93849,นายสฤษดิ์ บุตรเนียร,ภูมิใจไทย,132022,93849,136596,93849,84347,4694,4807,0,0,79.6028985,71.08587963,0,1
26,นครนายก,1,104054,82830,74982,4579,3269,107521,82830,นายปิยวัฒน์ กิตติธเนศวร,กล้าธรรม,104054,82830,107421,82830,76781,2694,3355,0,0,80.49841663,79.6028985,0,0
26,นครนายก,2,108945,87699,79406,5064,3229,113648,87699,นายเกรียงไกร กิตติธเนศวร,ภูมิใจไทย,108945,87699,113648,87699,80797,3277,3625,0,0,66.15706906,80.49841663,0,0
27,สระแก้ว,1,147502,97583,88432,5988,3163,149484,97583,นายบดี เทียนทอง,พลังประชารัฐ,147502,97584,149485,97584,89613,3764,4207,1,0.000677957,67.14893969,66.15774701,0,0
27,สระแก้ว,2,145146,97464,89341,4936,3187,147495,97464,นางสาวตรีนุช เทียนทอง,พลังประชารัฐ,145146,97464,147495,97464,89351,3874,4239,0,0,67.47577314,67.14893969,0,0
27,สระแก้ว,3,151072,101937,92333,6205,3399,153383,101937,นายสุรศักดิ์ ชิงนวรรณ์,กล้าธรรม,151072,101937,153343,101937,92868,5224,3845,0,0,70.37926479,67.47577314,0,0
30,นครราชสีมา,1,128670,90557,83542,2694,4321,131461,90557,นายฉัตร สุภัทรวณิชย์,ประชาชน,128270,90557,131461,90557,80985,2325,7247,0,0,74.95008001,70.59873704,0,0
30,นครราชสีมา,2,141226,105849,96874,4214,4761,140352,105849,นายวัชรพล โตมรศักดิ์,เพื่อไทย,141226,105850,140352,105850,96710,3197,5943,1,0.000708085,75.08384961,74.9507881,0,0
30,นครราชสีมา,3,136554,102530,93802,4294,4434,138584,102530,นายศุทธสิทธิ์ พจน์ฐศักดิ์,ประชาชน,136554,102530,138584,102530,92622,3626,6282,0,0,71.32719587,75.08384961,0,0
30,นครราชสีมา,4,131759,93980,85195,4683,4102,133540,93980,นางสาวณัฐจิรา อิ่มวิเศษ,เพื่อไทย,131759,93980,133540,93980,84302,4030,5648,0,0,71.25490607,71.32719587,0,0
30,นครราชสีมา,5,133508,95131,86005,5849,3277,135320,95131,นายสมเกียรติ ตันดิลกตระกูล,เพื่อไทย,133508,95129,135320,95129,87644,3871,3614,2,0.001498038,64.23783023,71.25340804,0,0
30,นครราชสีมา,6,133507,85762,79241,4838,1683,130200,85762,นางพัชราวรรณ ภิญโญ,เพื่อไทย,133507,85762,130200,85762,81811,2110,1841,0,0,59.9692814,64.23783023,0,0
30,นครราชสีมา,7,136725,81993,75590,4463,1940,137633,81993,นางสาวปิยะนุช ยินดีสุข,เพื่อไทย,136725,81993,137653,81993,76958,2717,2318,0,0,65.93157769,59.9692814,0,0
30,นครราชสีมา,8,133816,88227,80704,4520,3003,131280,88227,นายนิกร โสมกลาง,เพื่อไทย,133816,88226,131280,88226,79521,5126,3579,1,0.000747295,68.12215495,65.93083039,0,0
30,นครราชสีมา,9,135762,92484,85355,5140,1989,137644,92484,นายพลพีร์ สุวรรณฉวี,ภูมิใจไทย,135762,92485,137645,92485,87655,2909,1921,1,0.000736583,81.10489318,68.12289153,0,0
30,นครราชสีมา,10,138131,112031,101587,6762,3682,141885,112031,นายบุญจง วงศ์ไตรรัตน์,ภูมิใจไทย,138131,112031,141885,112031,104308,4162,3561,0,0,70.82529377,81.10489318,0,0
30,นครราชสีมา,11,132159,93602,84866,5329,3407,134351,93602,นายอาทิตย์ หวังศุภกิจโกศล,เพื่อไทย,132159,93602,134351,93602,85016,4060,4526,0,0,71.6515092,70.82529377,0,0
30,นครราชสีมา,12,132388,94858,85430,5872,3556,130420,94858,นายนรเสฏฐ์ ศิริโรจนกุล,เพื่อไทย,132388,94858,130420,94858,86006,4617,4235,0,0,60.32773277,71.6515092,0,0
30,นครราชสีมา,13,130106,78490,69798,5171,3521,135116,78490,นายพชร จันทรรวงทอง,เพื่อไทย,130106,78490,135116,78490,66505,6631,5354,0,0,63.93715964,60.32773277,0,0
30,นครราชสีมา,14,130744,83594,75906,3781,3907,132821,83594,นายหนึ่ง ขัติยะนนท์,ประชาชน,130744,83594,132821,83594,73189,4877,5528,0,0,72.0419868,63.93715964,0,0
30,นครราชสีมา,15,138615,99861,92072,5696,2093,139780,99861,นายรชตะ ด่านกุล,เพื่อไทย,138615,99862,139780,99862,95199,2835,1828,1,0.000721423,65.69241629,72.04270822,0,0
30,นครราชสีมา,16,136002,89343,81924,5370,2049,139348,89343,นายตติรัฐ รัตนเศรษฐ,ภูมิใจไทย,136002,89343,139348,89343,83999,2993,2351,0,0,68.76705552,65.69241629,0,0
31,บุรีรัมย์,1,125326,86183,80645,3698,1840,121300,86183,นายสนอง เทพอักษรณรงค์,ภูมิใจไทย,125326,86182,121300,86182,78889,3720,3573,1,0.000797919,63.97367596,68.7662576,0,0
